Order_ID,Gender_Category,Product_Line,Product_Name,Size,Revenue,Sales_Channel,Region,Profit_columns,Loss
2029,Men,Training,ZoomX Invincible,12,0.0,Online,Bangaluru,0.0,-185.67
2030,Men,Soccer,Phantom GT,XL,0.0,Retail,Hyderabad,0.0,-122.93
2031,Men,Soccer,Premier III,L,2514.99,Online,Delhi,350.7,0.0
2032,Women,Lifestyle,Blazer Mid,XL,0.0,Retail,Mumbai,0.0,-555.16
2033,Men,Soccer,Mercurial Superfly,XL,0.0,Retail,Kolkata,0.0,-1005.71
2034,Men,Basketball,Air Jordan,6,0.0,Retail,Delhi,0.0,-267.37
2035,Kids,Basketball,Zoom Freak,L,0.0,Online,Bangaluru,2914.83,0.0
2036,Men,Training,Metcon 7,L,0.0,Retail,Bangaluru,0.0,-143.8
2037,Kids,Running,Pegasus Turbo,7,-169.59,Retail,Pune,2776.96,0.0
2038,Kids,Running,Free RN,L,0.0,Online,Delhi,1163.21,0.0
2039,Women,Training,Flex Trainer,M,0.0,Retail,Hyderabad,0.0,-336.3
2002,Women,Basketball,Zoom Freak,XL,0.0,Retail,Delhi,145.08,0.0
2041,Kids,Soccer,Tiempo Legend,12,0.0,Online,Hyderabad,2371.66,0.0
2042,Women,Basketball,Kyrie Flytrap,L,0.0,Online,Hyderabad,0.0,-862.16
2043,Men,Soccer,Premier III,XL,0.0,Retail,Delhi,3770.75,0.0
2044,Kids,Training,SuperRep Go,L,0.0,Online,Delhi,2174.71,0.0
2045,Kids,Lifestyle,Dunk Low,XL,0.0,Retail,Delhi,1833.94,0.0
2046,Kids,Running,Air Zoom,12,0.0,Online,Kolkata,1284.33,0.0
2047,Women,Training,SuperRep Go,10,0.0,Retail,Bangaluru,2888.68,0.0
2048,Women,Basketball,Air Jordan,XL,0.0,Online,Bangaluru,2875.86,0.0
2049,Kids,Soccer,Tiempo Legend,L,0.0,Retail,Pune,311.48,0.0
2050,Men,Running,Air Zoom,L,0.0,Retail,Kolkata,682.12,0.0
2051,Women,Basketball,Air Jordan,XL,0.0,Retail,Delhi,3135.98,0.0
2052,Men,Training,Flex Trainer,10,0.0,Retail,Pune,2184.8,0.0
2053,Men,Lifestyle,Air Force 1,XL,0.0,Online,Delhi,3384.92,0.0
2054,Women,Training,Flex Trainer,11,0.0,Online,Mumbai,0.0,-549.76
2055,Men,Basketball,Kyrie Flytrap,L,0.0,Online,Hyderabad,0.0,-1078.76
2056,Men,Running,React Infinity,L,0.0,Retail,Bangaluru,0.0,-244.44
2048,Men,Lifestyle,Waffle One,M,1118.93,Online,Mumbai,0.0,-642.02
2058,Women,Training,Flex Trainer,11,0.0,Online,Kolkata,361.54,0.0
2059,Kids,Soccer,Phantom GT,L,0.0,Retail,Delhi,291.28,0.0
2060,Men,Lifestyle,Waffle One,L,0.0,Online,bengaluru,2821.59,0.0
2061,Women,Basketball,LeBron 20,L,0.0,Online,Mumbai,0.0,-501.68
2062,Men,Basketball,Air Jordan,L,0.0,Online,Bangaluru,1823.91,0.0
2063,Women,Basketball,Air Jordan,M,8190.84,Retail,Pune,1130.31,0.0
2064,Kids,Running,React Infinity,L,0.0,Online,Bangaluru,3277.44,0.0
2065,Women,Lifestyle,Waffle One,10,0.0,Retail,Hyderabad,21.58,0.0
2066,Men,Soccer,Phantom GT,XL,0.0,Online,Mumbai,1022.82,0.0
2067,Kids,Basketball,LeBron 20,L,0.0,Online,Kolkata,161.5,0.0
2068,Men,Running,Free RN,L,0.0,Retail,Mumbai,984.9,0.0
2069,Women,Training,SuperRep Go,L,0.0,Online,Pune,3554.58,0.0
2070,Kids,Running,React Infinity,L,0.0,Retail,Mumbai,1112.43,0.0
2071,Kids,Lifestyle,Blazer Mid,M,12010.21,Retail,Pune,0.0,-882.96
2072,Men,Training,Flex Trainer,L,0.0,Retail,Pune,3639.2,0.0
2073,Women,Lifestyle,Blazer Mid,12,0.0,Online,Hyderabad,443.86,0.0
2074,Men,Training,Flex Trainer,L,0.0,Online,Kolkata,1958.47,0.0
2075,Kids,Basketball,Air Jordan,L,0.0,Online,Pune,2345.35,0.0
2076,Women,Training,ZoomX Invincible,11,0.0,Retail,bengaluru,2011.25,0.0
2077,Men,Training,ZoomX Invincible,L,0.0,Online,Pune,3332.66,0.0
2078,Women,Basketball,LeBron 20,L,0.0,Online,Mumbai,262.79,0.0
2079,Men,Running,Pegasus Turbo,XL,0.0,Online,bengaluru,279.78,0.0
2080,Men,Lifestyle,Blazer Mid,L,0.0,Online,Bangaluru,0.0,-1005.89
2081,Men,Training,ZoomX Invincible,L,0.0,Online,Mumbai,2810.49,0.0
2028,Men,Running,Free RN,L,0.0,Online,Hyderabad,3303.01,0.0
2083,Men,Running,Free RN,L,0.0,Retail,Delhi,0.0,-981.21
2084,Men,Training,Metcon 7,M,0.0,Online,Mumbai,408.39,0.0
2085,Men,Basketball,Kyrie Flytrap,L,0.0,Retail,Kolkata,98.72,0.0
2086,Men,Soccer,Mercurial Superfly,L,0.0,Online,Kolkata,1742.66,0.0
2087,Kids,Basketball,Zoom Freak,L,0.0,Online,Kolkata,3777.5,0.0
2088,Women,Running,Free RN,XL,0.0,Online,Bangaluru,2702.93,0.0
2089,Women,Training,Flex Trainer,L,5499.82,Online,Mumbai,0.0,-1076.66
2090,Kids,Lifestyle,Dunk Low,8,0.0,Retail,Bangaluru,163.15,0.0
2091,Kids,Running,Air Zoom,11,0.0,Retail,Mumbai,1917.55,0.0
2092,Kids,Basketball,Zoom Freak,XL,0.0,Online,Delhi,207.2,0.0
2093,Men,Running,Free RN,XL,0.0,Online,Kolkata,0.0,-146.73
2094,Kids,Training,Flex Trainer,10,0.0,Retail,Delhi,2974.58,0.0
2095,Men,Lifestyle,Waffle One,M,0.0,Online,Delhi,880.57,0.0
2096,Men,Running,Pegasus Turbo,XL,0.0,Online,Kolkata,288.66,0.0
2097,Women,Training,ZoomX Invincible,XL,0.0,Online,Bangaluru,769.05,0.0
2098,Men,Training,ZoomX Invincible,L,0.0,Online,Hyderabad,98.3,0.0
2099,Kids,Soccer,Mercurial Superfly,M,0.0,Retail,Mumbai,360.97,0.0
2100,Kids,Soccer,Phantom GT,8,0.0,Retail,Mumbai,2287.57,0.0
2101,Kids,Running,Free RN,XL,0.0,Online,Hyderabad,3398.01,0.0
2102,Women,Soccer,Mercurial Superfly,XL,0.0,Online,Pune,284.17,0.0
2103,Women,Basketball,LeBron 20,XL,0.0,Online,Kolkata,469.61,0.0
2104,Men,Basketball,Kyrie Flytrap,L,0.0,Retail,Delhi,2905.91,0.0
2105,Kids,Training,Metcon 7,L,0.0,Retail,Mumbai,1716.04,0.0
2106,Women,Running,Free RN,L,0.0,Retail,bengaluru,76.95,0.0
2107,Women,Running,React Infinity,M,0.0,Online,Hyderabad,0.0,-184.69
2108,Kids,Lifestyle,Air Force 1,XL,0.0,Retail,Mumbai,0.0,-338.77
2109,Kids,Basketball,Zoom Freak,M,0.0,Retail,Kolkata,3791.88,0.0
2110,Kids,Running,Air Zoom,12,0.0,Retail,Pune,0.0,-259.29
2111,Men,Lifestyle,Waffle One,L,0.0,Retail,bengaluru,1326.67,0.0
2112,Women,Training,Metcon 7,L,0.0,Retail,bengaluru,697.42,0.0
2113,Women,Basketball,Air Jordan,XL,0.0,Retail,Pune,2918.93,0.0
2114,Women,Training,Flex Trainer,XL,1488.65,Retail,Pune,1567.37,0.0
2115,Kids,Soccer,Phantom GT,6,0.0,Online,Kolkata,1969.03,0.0
2116,Women,Basketball,LeBron 20,L,0.0,Online,Hyderabad,2088.55,0.0
2117,Women,Training,SuperRep Go,L,0.0,Online,Pune,2037.43,0.0
2118,Kids,Basketball,Zoom Freak,XL,0.0,Online,Hyderabad,2696.85,0.0
2119,Women,Training,Metcon 7,11,0.0,Retail,Kolkata,2887.81,0.0
2120,Men,Soccer,Phantom GT,12,0.0,Retail,Pune,0.0,-328.0
2000,Kids,Running,React Infinity,M,0.0,Retail,Kolkata,929.75,0.0
2122,Kids,Soccer,Mercurial Superfly,L,0.0,Retail,bengaluru,1078.48,0.0
2123,Men,Running,Air Zoom,L,0.0,Retail,Hyderabad,2195.52,0.0
2124,Kids,Basketball,Kyrie Flytrap,L,0.0,Online,Kolkata,432.04,0.0
2125,Women,Soccer,Tiempo Legend,M,0.0,Retail,Hyderabad,1051.22,0.0
2126,Kids,Running,Pegasus Turbo,L,0.0,Retail,Pune,2508.34,0.0
2127,Men,Training,Metcon 7,L,0.0,Online,Mumbai,3718.37,0.0
2128,Women,Basketball,LeBron 20,L,0.0,Retail,Bangaluru,1411.29,0.0
2129,Men,Basketball,Zoom Freak,9,0.0,Retail,Delhi,841.4,0.0
2130,Men,Soccer,Premier III,10,0.0,Online,bengaluru,2962.75,0.0
2131,Kids,Running,Free RN,XL,0.0,Retail,Mumbai,2227.48,0.0
2132,Men,Running,Free RN,L,0.0,Online,Delhi,3882.22,0.0
2133,Men,Training,Metcon 7,XL,0.0,Retail,Pune,0.0,-166.81
2134,Men,Training,ZoomX Invincible,M,0.0,Online,Hyderabad,1009.28,0.0
2135,Men,Basketball,Zoom Freak,L,4735.44,Retail,Hyderabad,2422.38,0.0
2136,Kids,Training,ZoomX Invincible,L,0.0,Online,Pune,3672.24,0.0
2137,Men,Soccer,Phantom GT,L,0.0,Online,Delhi,1796.76,0.0
2138,Men,Running,Pegasus Turbo,11,0.0,Online,Mumbai,1840.09,0.0
2139,Women,Basketball,Air Jordan,M,0.0,Retail,Mumbai,0.0,-334.52
2140,Men,Basketball,Zoom Freak,M,0.0,Online,Bangaluru,0.0,-875.45
2141,Kids,Soccer,Tiempo Legend,L,0.0,Retail,Kolkata,0.0,-1032.47
2142,Kids,Soccer,Mercurial Superfly,L,0.0,Retail,Kolkata,0.0,-995.59
2143,Kids,Training,ZoomX Invincible,L,0.0,Online,Delhi,1006.66,0.0
2144,Women,Lifestyle,Waffle One,L,0.0,Online,Kolkata,2385.1,0.0
2145,Men,Lifestyle,Blazer Mid,6,0.0,Online,Bangaluru,1335.45,0.0
2146,Kids,Basketball,Air Jordan,XL,0.0,Retail,Mumbai,0.0,-908.85
2147,Women,Soccer,Phantom GT,XL,0.0,Online,Hyderabad,0.0,-426.53
2148,Men,Basketball,Kyrie Flytrap,L,0.0,Online,Hyderabad,520.55,0.0
2149,Women,Running,Pegasus Turbo,L,0.0,Online,Kolkata,0.0,-595.69
2150,Women,Basketball,LeBron 20,M,3445.74,Online,bengaluru,3221.62,0.0
2151,Kids,Soccer,Tiempo Legend,L,0.0,Online,bengaluru,2000.85,0.0
2152,Women,Running,Free RN,8,0.0,Online,bengaluru,3819.41,0.0
2153,Men,Running,React Infinity,L,0.0,Retail,Pune,1246.58,0.0
2154,Kids,Lifestyle,Blazer Mid,XL,0.0,Online,Bangaluru,2381.85,0.0
2155,Men,Soccer,Phantom GT,L,0.0,Online,Hyderabad,1475.15,0.0
2156,Men,Soccer,Tiempo Legend,M,0.0,Online,Pune,0.0,-286.07
2157,Kids,Soccer,Premier III,L,0.0,Online,Delhi,0.0,-701.01
2158,Women,Running,React Infinity,M,0.0,Online,Mumbai,514.79,0.0
2159,Women,Training,ZoomX Invincible,XL,0.0,Retail,Delhi,2781.72,0.0
2160,Kids,Running,Air Zoom,XL,0.0,Retail,Mumbai,3744.91,0.0
2161,Kids,Lifestyle,Waffle One,M,0.0,Online,Pune,1956.8,0.0
2162,Men,Lifestyle,Blazer Mid,8,0.0,Online,Mumbai,2398.55,0.0
2163,Men,Lifestyle,Dunk Low,7,0.0,Retail,Hyderabad,3344.98,0.0
2164,Women,Soccer,Mercurial Superfly,8,0.0,Online,Pune,0.0,-872.9
2165,Kids,Training,SuperRep Go,L,0.0,Retail,Kolkata,2460.19,0.0
2166,Women,Lifestyle,Air Force 1,M,0.0,Online,Mumbai,3364.05,0.0
2167,Men,Running,React Infinity,XL,0.0,Retail,Mumbai,1259.58,0.0
2168,Women,Running,Pegasus Turbo,L,0.0,Retail,Kolkata,3011.49,0.0
2169,Kids,Training,Flex Trainer,L,16022.36,Retail,Delhi,1057.58,0.0
2170,Kids,Lifestyle,Air Force 1,M,0.0,Online,Kolkata,3218.82,0.0
2022,Women,Lifestyle,Air Force 1,L,0.0,Retail,Mumbai,128.92,0.0
2172,Women,Training,ZoomX Invincible,M,0.0,Online,bengaluru,0.0,-909.86
2173,Men,Running,Free RN,L,0.0,Online,Bangaluru,3770.03,0.0
2174,Women,Soccer,Phantom GT,L,0.0,Retail,Pune,428.5,0.0
2175,Women,Lifestyle,Blazer Mid,L,0.0,Online,Pune,2457.78,0.0
2176,Men,Soccer,Mercurial Superfly,L,0.0,Online,bengaluru,3908.28,0.0
2177,Women,Lifestyle,Waffle One,XL,0.0,Retail,Mumbai,885.37,0.0
2178,Men,Running,Free RN,L,0.0,Retail,Bangaluru,0.0,-983.37
2179,Women,Training,ZoomX Invincible,M,0.0,Retail,Pune,3135.92,0.0
2180,Women,Basketball,LeBron 20,XL,0.0,Online,Pune,2189.84,0.0
2181,Women,Lifestyle,Air Force 1,XL,0.0,Retail,Delhi,419.58,0.0
2182,Kids,Basketball,Zoom Freak,11,0.0,Online,Mumbai,0.0,-662.77
2183,Kids,Lifestyle,Waffle One,M,0.0,Online,Pune,2927.93,0.0
2184,Men,Soccer,Mercurial Superfly,XL,0.0,Retail,Hyderabad,1980.73,0.0
2185,Women,Training,ZoomX Invincible,XL,6900.2,Online,Kolkata,0.0,-615.48
2186,Men,Running,React Infinity,L,0.0,Retail,Bangaluru,540.83,0.0
2187,Men,Running,React Infinity,L,0.0,Online,Mumbai,2402.99,0.0
2188,Men,Running,React Infinity,L,0.0,Online,Pune,1278.03,0.0
2189,Men,Training,SuperRep Go,L,0.0,Online,Hyderabad,3628.46,0.0
2190,Kids,Basketball,Kyrie Flytrap,L,0.0,Online,Delhi,1949.77,0.0
2191,Men,Lifestyle,Air Force 1,8,0.0,Retail,Pune,0.0,-1032.88
2192,Men,Basketball,Kyrie Flytrap,XL,0.0,Retail,Delhi,554.91,0.0
2193,Women,Lifestyle,Waffle One,XL,0.0,Retail,Delhi,1803.66,0.0
2194,Men,Soccer,Mercurial Superfly,M,0.0,Online,Hyderabad,926.03,0.0
2195,Women,Training,SuperRep Go,L,0.0,Online,Delhi,1041.81,0.0
2196,Kids,Soccer,Premier III,L,0.0,Online,Delhi,925.63,0.0
2197,Kids,Training,ZoomX Invincible,L,0.0,Online,bengaluru,0.0,-418.5
2198,Men,Training,SuperRep Go,7,0.0,Online,Pune,0.0,-169.33
2199,Men,Soccer,Premier III,M,0.0,Retail,Kolkata,389.94,0.0
2200,Men,Basketball,Air Jordan,9,0.0,Online,Delhi,1513.76,0.0
2201,Women,Training,SuperRep Go,11,0.0,Online,Mumbai,1403.56,0.0
2202,Men,Basketball,Kyrie Flytrap,M,475.14,Retail,Bangaluru,1994.42,0.0
2203,Men,Lifestyle,Air Force 1,M,0.0,Online,Pune,1556.95,0.0
2204,Men,Basketball,LeBron 20,7,0.0,Online,Delhi,2076.75,0.0
2205,Women,Running,React Infinity,XL,0.0,Retail,Pune,0.0,-467.52
2206,Men,Training,Flex Trainer,M,0.0,Online,Delhi,0.0,-524.85
2207,Women,Running,Pegasus Turbo,XL,0.0,Online,Hyderabad,2101.41,0.0
2208,Women,Basketball,LeBron 20,M,0.0,Retail,Hyderabad,0.0,-1074.04
2209,Kids,Training,SuperRep Go,L,0.0,Retail,Hyderabad,1956.7,0.0
2210,Men,Lifestyle,Blazer Mid,XL,0.0,Retail,Kolkata,701.02,0.0
2000,Kids,Training,Metcon 7,L,0.0,Retail,bengaluru,2372.82,0.0
2212,Women,Lifestyle,Blazer Mid,L,0.0,Online,Kolkata,0.0,-87.95
2213,Women,Running,Air Zoom,9,0.0,Online,Delhi,3741.14,0.0
2214,Men,Basketball,LeBron 20,XL,0.0,Retail,Mumbai,1446.0,0.0
2215,Men,Basketball,Zoom Freak,XL,0.0,Online,Kolkata,3254.06,0.0
2216,Women,Lifestyle,Air Force 1,M,0.0,Online,Hyderabad,2617.56,0.0
2217,Women,Lifestyle,Waffle One,L,0.0,Retail,Delhi,2190.84,0.0
2218,Kids,Soccer,Premier III,6,0.0,Online,Bangaluru,1440.02,0.0
2219,Women,Basketball,Air Jordan,M,0.0,Online,bengaluru,3305.72,0.0
2220,Kids,Training,SuperRep Go,M,0.0,Online,Kolkata,890.14,0.0
2221,Kids,Lifestyle,Waffle One,L,0.0,Retail,Mumbai,0.0,-297.05
2222,Men,Training,ZoomX Invincible,XL,15837.0,Retail,Mumbai,2821.69,0.0
2223,Kids,Training,Flex Trainer,M,0.0,Online,Kolkata,799.28,0.0
2224,Kids,Lifestyle,Dunk Low,L,0.0,Online,Pune,3278.7,0.0
2225,Kids,Basketball,Kyrie Flytrap,11,0.0,Retail,Hyderabad,1136.63,0.0
2226,Women,Basketball,Zoom Freak,L,0.0,Online,Delhi,0.0,-131.04
2021,Men,Running,React Infinity,XL,0.0,Retail,Hyderabad,2277.63,0.0
2228,Kids,Basketball,Zoom Freak,L,0.0,Online,Kolkata,0.0,-127.34
2229,Men,Running,Air Zoom,XL,0.0,Retail,Mumbai,3284.36,0.0
2230,Kids,Lifestyle,Dunk Low,10,0.0,Online,bengaluru,781.56,0.0
2231,Kids,Training,Flex Trainer,9,0.0,Online,bengaluru,0.0,-39.48
2232,Women,Running,Free RN,XL,0.0,Online,Kolkata,2409.87,0.0
2233,Men,Lifestyle,Air Force 1,XL,0.0,Online,Kolkata,2398.07,0.0
2234,Men,Training,Flex Trainer,L,-2970.77,Retail,bengaluru,2085.62,0.0
2042,Men,Basketball,Kyrie Flytrap,10,0.0,Retail,bengaluru,2459.63,0.0
2236,Men,Soccer,Mercurial Superfly,M,0.0,Online,Delhi,880.62,0.0
2237,Kids,Training,Metcon 7,M,0.0,Online,Mumbai,0.0,-238.18
2238,Kids,Training,SuperRep Go,L,0.0,Online,Delhi,662.02,0.0
2239,Men,Training,SuperRep Go,XL,0.0,Online,Kolkata,1750.71,0.0
2240,Kids,Basketball,Air Jordan,M,0.0,Retail,Kolkata,0.0,-928.85
2241,Women,Soccer,Tiempo Legend,12,0.0,Online,Hyderabad,0.0,-233.74
2046,Kids,Basketball,LeBron 20,L,-690.82,Retail,Kolkata,2237.95,0.0
2243,Men,Lifestyle,Blazer Mid,L,0.0,Retail,Delhi,266.31,0.0
2244,Kids,Training,Metcon 7,L,0.0,Online,Delhi,1904.11,0.0
2245,Kids,Running,React Infinity,L,0.0,Online,Pune,0.0,-290.33
2246,Kids,Basketball,LeBron 20,L,0.0,Online,Hyderabad,0.0,-943.35
2247,Women,Training,Metcon 7,L,0.0,Online,Mumbai,0.0,-1158.15
2248,Men,Training,Metcon 7,M,25079.88,Online,bengaluru,1625.14,0.0
2249,Men,Training,Flex Trainer,M,0.0,Online,Delhi,0.0,-692.94
2250,Men,Basketball,Kyrie Flytrap,XL,0.0,Retail,Pune,821.13,0.0
2046,Men,Basketball,Air Jordan,L,0.0,Online,Hyderabad,1592.5,0.0
2252,Women,Running,Free RN,L,0.0,Retail,Delhi,934.87,0.0
2253,Men,Training,Flex Trainer,M,0.0,Online,bengaluru,1516.72,0.0
2254,Women,Basketball,LeBron 20,M,0.0,Online,Hyderabad,1642.0,0.0
2255,Kids,Basketball,LeBron 20,XL,0.0,Retail,Mumbai,586.56,0.0
2256,Men,Soccer,Phantom GT,L,0.0,Online,Hyderabad,3175.83,0.0
2257,Men,Basketball,Kyrie Flytrap,XL,0.0,Online,Mumbai,0.0,-365.42
2258,Women,Lifestyle,Dunk Low,L,0.0,Online,Mumbai,2824.7,0.0
2259,Women,Soccer,Mercurial Superfly,M,0.0,Retail,Delhi,2323.89,0.0
2260,Women,Lifestyle,Dunk Low,M,0.0,Retail,Pune,0.0,-352.18
2261,Women,Training,ZoomX Invincible,L,0.0,Retail,Pune,1574.74,0.0
2262,Women,Running,Pegasus Turbo,L,0.0,Retail,Pune,3146.93,0.0
2263,Women,Soccer,Premier III,M,0.0,Online,Kolkata,2510.55,0.0
2264,Men,Training,ZoomX Invincible,L,-1799.14,Retail,bengaluru,1248.25,0.0
2265,Women,Soccer,Premier III,7,0.0,Retail,Delhi,0.0,-67.74
2266,Women,Basketball,LeBron 20,L,0.0,Retail,Kolkata,3475.59,0.0
2267,Women,Running,Air Zoom,M,0.0,Retail,Kolkata,238.78,0.0
2268,Men,Soccer,Mercurial Superfly,M,0.0,Online,Kolkata,518.71,0.0
2269,Women,Training,ZoomX Invincible,11,0.0,Retail,Mumbai,0.0,-405.26
2270,Men,Running,React Infinity,XL,0.0,Retail,Pune,3088.25,0.0
2271,Kids,Lifestyle,Waffle One,9,0.0,Retail,Delhi,1293.94,0.0
2038,Women,Training,ZoomX Invincible,XL,0.0,Retail,Delhi,3680.24,0.0
2273,Kids,Running,Free RN,M,0.0,Online,Kolkata,0.0,-614.66
2274,Women,Training,Metcon 7,6,0.0,Online,bengaluru,2561.89,0.0
2275,Kids,Running,Pegasus Turbo,M,0.0,Online,Pune,0.0,-783.71
2276,Kids,Lifestyle,Air Force 1,L,0.0,Retail,Kolkata,1181.87,0.0
2277,Kids,Basketball,LeBron 20,M,0.0,Online,Hyderabad,3967.77,0.0
2278,Men,Training,SuperRep Go,11,0.0,Retail,Pune,3638.15,0.0
2279,Women,Lifestyle,Blazer Mid,6,0.0,Retail,Mumbai,766.72,0.0
2280,Women,Soccer,Mercurial Superfly,M,0.0,Online,Delhi,3069.57,0.0
2281,Kids,Lifestyle,Waffle One,M,0.0,Retail,Kolkata,1753.48,0.0
2282,Men,Running,Free RN,L,0.0,Retail,Mumbai,0.0,-1002.46
2283,Men,Soccer,Mercurial Superfly,10,0.0,Retail,Delhi,468.59,0.0
2284,Kids,Soccer,Mercurial Superfly,M,0.0,Online,Kolkata,1370.01,0.0
2285,Women,Basketball,LeBron 20,L,0.0,Retail,Delhi,2211.71,0.0
2286,Women,Lifestyle,Waffle One,L,0.0,Online,Bangaluru,2419.09,0.0
2287,Women,Running,React Infinity,9,0.0,Online,Mumbai,0.0,-650.68
2288,Women,Training,ZoomX Invincible,L,0.0,Retail,Hyderabad,1570.91,0.0
2289,Women,Running,Air Zoom,L,0.0,Retail,Mumbai,3161.45,0.0
2290,Women,Training,Flex Trainer,L,0.0,Online,Kolkata,546.66,0.0
2291,Women,Basketball,LeBron 20,L,0.0,Retail,Pune,2729.23,0.0
2292,Women,Running,Free RN,M,0.0,Online,Kolkata,1192.5,0.0
2293,Women,Basketball,Air Jordan,XL,0.0,Retail,Mumbai,2525.87,0.0
2012,Women,Soccer,Phantom GT,L,0.0,Retail,Hyderabad,0.0,-914.59
2295,Kids,Lifestyle,Dunk Low,L,0.0,Retail,Hyderabad,3901.16,0.0
2296,Women,Soccer,Phantom GT,L,0.0,Online,Delhi,0.0,-1188.86
2297,Kids,Basketball,LeBron 20,M,0.0,Online,Pune,454.97,0.0
2298,Men,Training,SuperRep Go,L,0.0,Retail,Kolkata,3445.5,0.0
2299,Kids,Soccer,Phantom GT,L,0.0,Online,Hyderabad,2596.8,0.0
2300,Men,Basketball,Air Jordan,L,4178.88,Retail,Delhi,3380.28,0.0
2301,Men,Soccer,Mercurial Superfly,XL,0.0,Online,Pune,0.0,-505.58
2302,Women,Running,Air Zoom,XL,0.0,Retail,Hyderabad,1489.99,0.0
2303,Kids,Running,Free RN,L,0.0,Retail,Hyderabad,2971.55,0.0
2304,Men,Training,Flex Trainer,11,0.0,Online,Hyderabad,2055.87,0.0
2305,Kids,Running,Pegasus Turbo,L,0.0,Retail,Mumbai,2794.61,0.0
2306,Kids,Basketball,Air Jordan,L,5869.97,Retail,Bangaluru,476.25,0.0
2307,Women,Running,Free RN,XL,0.0,Retail,Kolkata,2390.7,0.0
2308,Men,Running,Pegasus Turbo,L,0.0,Online,bengaluru,2282.01,0.0
2004,Kids,Lifestyle,Dunk Low,M,0.0,Retail,bengaluru,0.0,-276.83
2310,Men,Running,Air Zoom,XL,0.0,Online,Kolkata,0.0,-1061.45
2026,Women,Training,Flex Trainer,M,0.0,Online,Delhi,495.62,0.0
2312,Kids,Soccer,Premier III,L,0.0,Online,bengaluru,249.56,0.0
2313,Women,Training,SuperRep Go,M,0.0,Online,Delhi,480.74,0.0
2314,Women,Soccer,Mercurial Superfly,M,0.0,Retail,Mumbai,1505.11,0.0
2315,Men,Basketball,Kyrie Flytrap,M,0.0,Retail,Hyderabad,143.06,0.0
2316,Men,Soccer,Phantom GT,M,0.0,Retail,Delhi,3862.6,0.0
2317,Men,Training,Flex Trainer,M,0.0,Online,Kolkata,32.45,0.0
2318,Men,Soccer,Phantom GT,11,0.0,Retail,Delhi,1894.17,0.0
2319,Women,Basketball,Kyrie Flytrap,L,0.0,Online,Delhi,2141.68,0.0
2320,Kids,Running,Pegasus Turbo,XL,0.0,Retail,Hyderabad,1265.74,0.0
2321,Men,Lifestyle,Dunk Low,8,0.0,Online,Mumbai,0.0,-362.47
2322,Women,Running,Pegasus Turbo,L,0.0,Retail,Delhi,1333.86,0.0
2323,Men,Lifestyle,Dunk Low,L,0.0,Online,bengaluru,0.0,-453.11
